date,exchange_rate_USD_EUR,exchange_rate_JPY_EUR,oil_price,interest_rate,sp500,day_of_week,month,year,exchange_rate_USD_EUR_pct_change,exchange_rate_JPY_EUR_pct_change,oil_price_pct_change,sp500_pct_change,exchange_rate_USD_EUR_ma_7,exchange_rate_JPY_EUR_ma_7,oil_price_ma_7,exchange_rate_USD_EUR_ma_30,exchange_rate_JPY_EUR_ma_30,oil_price_ma_30,exchange_rate_USD_EUR_ma_90,exchange_rate_JPY_EUR_ma_90,oil_price_ma_90
2015-08-24,0.8619,0.00728,1.266,0.15,189.5,0,8,2015,0.0,0.0,-11.899791231732781,0.0,0.8642428571428571,0.007267142857142858,7.134285714285716,0.88068,0.00722,9.5401,0.8938444444444444,0.007237444444444445,9.523900000000001
2015-08-24,0.8619,0.00728,1.818,0.15,189.5,0,8,2015,0.0,0.0,43.601895734597164,0.0,0.8619,0.00728,7.187285714285715,0.8794299999999999,0.007220666666666667,8.242366666666667,0.8934644444444444,0.007238111111111111,9.513433333333333
2015-08-24,0.8619,0.00728,1.256,0.15,189.5,0,8,2015,0.0,0.0,-30.913091309130913,0.0,0.8619,0.00728,7.169285714285715,0.8781800000000001,0.007221333333333333,8.236133333333333,0.8930844444444445,0.007238777777777776,9.047166666666667
2015-08-24,0.8619,0.00728,1.383,0.15,189.5,0,8,2015,0.0,0.0,10.111464968152873,0.0,0.8619,0.00728,7.154714285714287,0.8772466666666666,0.007223666666666667,6.761233333333333,0.8927044444444445,0.007239444444444444,9.044911111111112
2015-08-24,0.8619,0.00728,0.356,0.15,189.5,0,8,2015,0.0,0.0,-74.25885755603761,0.0,0.8619,0.00728,1.2641428571428581,0.8763133333333334,0.007226,6.711700000000001,0.8923244444444444,0.00724011111111111,9.032688888888888
2015-08-24,0.8619,0.00728,38.22,0.15,189.5,0,8,2015,0.0,0.0,10635.955056179777,0.0,0.8619,0.00728,6.533714285714287,0.8753799999999999,0.007228333333333334,7.940633333333333,0.8919444444444445,0.007240777777777778,9.437666666666667
2015-08-25,0.8672,0.00729,1.456,0.15,187.23,1,8,2015,0.6149205244227796,0.13736263736263687,-96.19047619047619,-1.197889182058054,0.8626571428571428,0.0072814285714285715,6.536428571428573,0.8746233333333334,0.0072310000000000004,7.944,0.8916233333333333,0.007241555555555557,8.917288888888889
2015-08-25,0.8672,0.00729,41.86,0.15,187.23,1,8,2015,0.0,0.0,2775.0,0.0,0.8634142857142857,0.007282857142857142,12.335571428571429,0.8738666666666667,0.007233666666666666,9.289266666666666,0.8913022222222221,0.007242333333333333,9.3648
2015-08-25,0.8672,0.00729,1.373,0.15,187.23,1,8,2015,0.0,0.0,-96.72001911132347,0.0,0.8641714285714286,0.0072842857142857145,12.272000000000002,0.87311,0.007236333333333333,9.285799999999998,0.8909800000000001,0.0072433333333333325,9.364088888888888
2015-08-25,0.8672,0.00729,39.15,0.15,187.23,1,8,2015,0.0,0.0,2751.4202476329206,0.0,0.8649285714285714,0.007285714285714286,17.68542857142857,0.8723533333333333,0.007239,10.578166666666668,0.8906577777777778,0.007244333333333333,9.770322222222223
