date,exchange_rate_USD_EUR,exchange_rate_JPY_EUR,oil_price,interest_rate,sp500,day_of_week,month,year,exchange_rate_USD_EUR_pct_change,exchange_rate_JPY_EUR_pct_change,oil_price_pct_change,sp500_pct_change,exchange_rate_USD_EUR_ma_7,exchange_rate_JPY_EUR_ma_7,oil_price_ma_7,exchange_rate_USD_EUR_ma_30,exchange_rate_JPY_EUR_ma_30,oil_price_ma_30,exchange_rate_USD_EUR_ma_90,exchange_rate_JPY_EUR_ma_90,oil_price_ma_90
2015-01-14,0.848,0.00724,1.518,0.12,200.86,2,1,2015,-0.10601955471787328,0.5555555555555536,8.119658119658135,-0.6037212984956408,0.8487714285714285,0.007205714285714286,1.3445714285714285,0.8462966666666667,0.007163,10.371566666666666,0.8428433333333334,0.0070822222222222215,9.832966666666666
2015-01-14,0.848,0.00724,1.608,0.12,200.86,2,1,2015,0.0,0.0,5.928853754940722,0.0,0.8486428571428571,0.007211428571428571,1.358,0.8464299999999999,0.007166666666666667,10.410066666666665,0.8430866666666668,0.007085999999999999,9.8319
2015-01-14,0.848,0.00724,0.469,0.12,200.86,2,1,2015,0.0,0.0,-70.83333333333334,0.0,0.8485142857142857,0.007217142857142858,1.3591428571428572,0.8465633333333333,0.007170333333333333,10.381166666666667,0.8432499999999999,0.007089666666666667,9.818177777777777
2015-01-14,0.848,0.00724,1.261,0.12,200.86,2,1,2015,0.0,0.0,168.86993603411514,0.0,0.8483857142857143,0.007222857142857143,1.3558571428571429,0.8466966666666667,0.007174,8.811533333333333,0.8434133333333333,0.007093333333333334,9.814533333333333
2015-01-14,0.848,0.00724,48.49,0.12,200.86,2,1,2015,0.0,0.0,3745.3608247422685,0.0,0.8482571428571429,0.007228571428571429,8.047714285714287,0.84683,0.007177666666666666,10.388733333333333,0.8435766666666668,0.007097,10.338933333333332
2015-01-14,0.848,0.00724,1.473,0.12,200.86,2,1,2015,0.0,0.0,-96.96226025984738,0.0,0.8481285714285713,0.007234285714285714,8.031857142857143,0.8469633333333333,0.007181333333333333,10.382733333333334,0.8437399999999999,0.007100666666666667,10.338722222222222
2015-01-14,0.848,0.00724,1.665,0.12,200.86,2,1,2015,0.0,0.0,13.034623217922592,0.0,0.848,0.00724,8.069142857142857,0.8470966666666667,0.0071849999999999995,10.387033333333333,0.8439033333333333,0.007104333333333333,10.3399
2015-01-14,0.848,0.00724,1.475,0.12,200.86,2,1,2015,0.0,0.0,-11.41141141141141,0.0,0.848,0.00724,8.063,0.8472299999999999,0.007188666666666667,8.8482,0.8440666666666666,0.007108000000000001,10.336233333333332
2015-01-14,0.848,0.00724,1.166,0.12,200.86,2,1,2015,0.0,0.0,-20.949152542372897,0.0,0.848,0.00724,7.999857142857144,0.8473299999999999,0.0071920000000000005,8.848133333333333,0.84423,0.007111666666666667,9.763411111111111
2015-01-14,0.848,0.00724,45.82,0.12,200.86,2,1,2015,0.0,0.0,3829.6740994854204,0.0,0.848,0.00724,14.47857142857143,0.84743,0.007195333333333333,8.840133333333334,0.8443933333333332,0.007115333333333333,9.65718888888889
